1,Dennis,Hayes,61,M
2,Donald,McGuire,61,M
3,Zachary,Poole,20,F
4,Victoria,Houston,51,M
5,Rosalie,Kim,41,F
6,Philip,Barton,45,M
7,Francis,Scott,33,M
8,Alberta,Moore,44,F
9,Herman,Butler,54,M
10,Leo,Lamb,55,M
11,Herman,Jimenez,37,M
12,Nicholas,McKinney,49,F
13,Winifred,Romero,58,M
14,Russell,Ruiz,51,F
15,Josephine,Jackson,55,F
16,Celia,Quinn,31,M
17,Herman,Lindsey,61,M
18,Clyde,Bailey,55,M
19,Joseph,Stevens,20,F
20,Alta,Rogers,25,F
21,Marion,Carson,24,M
22,Inez,Morris,54,M
23,Tommy,Ferguson,47,F
24,Nelle,Nunez,32,M
25,Kathryn,Medina,64,F
26,Theresa,Ray,29,F
27,Andre,Martinez,63,M
28,Kyle,Alexander,28,M
29,Louis,Wagner,27,M
30,Gerald,Bradley,21,M
31,Arthur,Hampton,51,F
32,Barry,Gordon,23,F
33,Benjamin,Andrews,48,F
34,Cecelia,Black,54,F
35,Delia,Garcia,56,M
36,Fanny,Foster,53,F
37,Gregory,Obrien,61,M
38,Jack,Hanson,30,M
39,Wayne,Miller,30,F
40,Katherine,Webster,24,M
41,Jeffrey,Banks,60,F
42,Louise,Gill,58,M
43,Roxie,Lloyd,46,M
44,Jacob,Knight,36,M
45,Katherine,Ferguson,59,F
46,Rachel,Sandoval,43,F
47,Mitchell,Ramsey,45,M
48,Alice,Nash,24,F
49,Laura,Wise,43,F
50,Millie,Cross,25,M
51,Benjamin,Graves,30,M
52,Jose,Jensen,27,F
53,Effie,Murray,28,F
54,Roxie,Brooks,46,M
55,Kathryn,Marsh,53,M
56,Cameron,Rivera,44,M
57,Corey,Butler,24,F
58,Florence,Gill,62,F
59,Eva,Berry,27,M
60,Effie,Nelson,56,M
61,Isabella,Cross,42,F
62,Allen,Burgess,58,M
63,Ora,Carlson,64,M
64,Adele,Roberts,32,M
65,Ivan,Robertson,38,F
66,Lettie,Castro,22,F
67,Jack,Garza,62,M
68,Lettie,Fitzgerald,56,F
69,Adele,Mendoza,63,M
70,Devin,Williamson,27,F
71,Josephine,Phelps,63,M
72,Ricardo,Robertson,26,M
73,Susan,Bowen,40,M
74,Iva,Patrick,63,M
75,Jean,Pittman,22,M
76,Rosetta,Hicks,52,F
77,Roy,Cain,42,F
78,Joseph,Figueroa,37,F
79,Seth,Underwood,23,F
80,Lettie,Lambert,64,F
81,Irene,Morris,26,F
82,Harry,Shaw,19,F
83,Lillian,Roy,23,F
84,Jesse,Adams,62,F
85,Bobby,Boone,34,F
86,Craig,Sullivan,52,F
87,Rebecca,Maldonado,25,F
88,Sadie,Copeland,53,M
89,Virgie,Carpenter,49,M
90,Laura,Fisher,46,M
91,Alta,Pena,41,M
92,Steve,Steele,42,M
93,Amanda,Holland,21,F
94,Nelle,Cohen,57,F
95,Hilda,Ramsey,23,F
96,Blake,Peters,21,F
97,Susie,Larson,36,F
98,Jeffrey,Zimmerman,42,M
99,Carlos,Christensen,48,F
100,Glen,Poole,49,F
101,Cory,Lynch,35,M
102,Myra,Joseph,19,F
103,Luis,Herrera,32,F
104,Mae,Franklin,57,F
105,Loretta,Alvarez,51,F
106,Georgia,Curry,58,M
107,Gilbert,Bryant,32,F
108,Howard,Atkins,19,M
109,Clayton,Griffin,35,M
110,Amy,Palmer,52,F
111,Samuel,Sullivan,26,F
112,Mabel,Brady,53,M
113,Angel,Henry,49,M
114,Mary,Pratt,40,M
115,Madge,Tucker,55,M
116,Flora,Conner,47,M
117,Dorothy,Herrera,23,F
118,Janie,Wood,28,F
119,Emma,Lynch,36,F
120,Shawn,Townsend,46,F
121,Ray,Wilkins,32,M
122,Lucinda,Wilkins,46,F
123,Luella,Parker,33,M
124,Christina,Blair,32,M
125,Josie,Stevenson,61,F
126,Sara,Washington,23,M
127,Dora,Murray,22,F
128,Allie,Carr,56,M
129,Lucile,Wallace,36,M
130,Virgie,Warren,64,F
131,Caleb,Gray,63,M
132,Edith,Wolfe,34,F
133,Andre,Cain,31,F
134,Carl,Blair,26,F
135,Helen,Brock,27,M
136,Bruce,Jensen,47,F
137,Ray,Underwood,18,M
138,Leonard,Harvey,23,M
139,Devin,Garner,30,M
140,Matthew,Day,43,M
141,Adrian,Ramsey,38,M
142,Dorothy,Gross,31,M
143,Ralph,Little,53,M
144,Margaret,Elliott,37,F
145,Gavin,Knight,55,M
146,Mike,George,23,F
147,Ralph,Mason,26,M
148,Harriett,Anderson,62,M
149,Jonathan,Cobb,28,M
150,Philip,Morales,29,M
151,Ella,Lawrence,33,F
152,Manuel,Mathis,58,F
153,Darrell,Rodgers,23,F
154,Douglas,Reeves,48,M
155,Cecilia,Santiago,53,F
156,Madge,Aguilar,49,F
157,Hannah,Garza,28,F
158,Daisy,Wolfe,24,F
159,Jesus,Cummings,48,M
160,Hallie,Weber,22,F
161,Frank,Cobb,19,M
162,Bessie,Parsons,53,F
163,Olga,Dean,37,M
164,Sue,Pratt,44,M
165,Etta,Bailey,24,M
166,Rosalie,Abbott,27,F
167,Hallie,Kelley,31,F
168,Eddie,Carpenter,37,F
169,Mary,Neal,60,M
170,Sophia,Lawrence,61,M
171,Paul,Holloway,41,M
172,Ian,Morgan,51,F
173,Darrell,Gibbs,41,M
174,Blake,Townsend,19,F
175,Victor,Fields,64,M
176,Sarah,Buchanan,56,M
177,Edgar,Herrera,27,M
178,Susan,Gibson,64,M
179,Craig,Johnston,33,M
180,Amanda,Estrada,20,M
181,Sarah,Smith,27,F
182,Francis,Benson,29,F
183,Marguerite,Richards,53,F
184,Callie,Long,19,F
185,Estella,Davis,28,F
186,Herbert,Fuller,54,F
187,Harry,Patton,31,M
188,Henrietta,Aguilar,28,M
189,Stella,Lambert,64,M
190,Flora,Massey,64,M
191,Jackson,Harmon,34,M
192,Connor,Elliott,54,M
193,Brett,Morrison,29,M
194,Ophelia,Fleming,51,F
195,Lois,Webb,63,M
196,Emilie,Andrews,28,M
197,Augusta,Johnston,18,F
198,Ronnie,Dixon,30,F
199,Lizzie,Roy,34,M
200,Scott,Grant,39,F
201,Lulu,Walsh,26,M
202,Madge,Austin,24,F
203,Isaiah,Walton,35,F
204,Marion,Alexander,62,F
205,Terry,Ray,51,M
206,Hannah,French,27,M
207,Barry,Hunter,19,M
208,Mary,Bishop,65,F
209,Alice,Clark,42,F
210,Donald,May,62,M
211,Scott,Zimmerman,48,M
212,Callie,Spencer,37,F
213,Douglas,Sharp,50,M
214,Hettie,Obrien,43,M
215,Nathaniel,Ingram,18,F
216,Erik,Jennings,22,F
217,Hattie,Burns,36,M
218,Dean,Cannon,30,M
219,Ann,Glover,20,F
220,Bessie,Banks,47,M
221,Henry,Todd,35,M
222,Angel,Olson,58,M
223,Francis,Fuller,31,M
224,Fred,Woods,61,F
225,Lulu,Hill,59,M
226,Lettie,Curtis,56,F
227,Stella,Parsons,49,M
228,Ryan,Houston,41,M
229,Caleb,Bishop,21,F
230,Minnie,Little,26,F
